Uniq Id;Product Name;List Price;Brand;Category;Position x;Position y
d7546c0b468124260181cfd50eaac8ac;Grade A Dad Mens T-shirt, Best Dad T-shirt, Fathers Day T-shirt for Dad - Heather Grey MH200DAD S23 S;14.99;Mato & Hash;Mens Clothing;19;4
6145cd505cc23f21f2f6e7f9a50f3540;Moosejaw Mens Classic Classic Moose Vintage Slim SS Tee;26;Moosejaw;Mens Clothing;19;5
18ed7ddb52f74730b5704c0e663ee043;Shop4Ever Mens Union Jack British Flag United Kingdom Raglan Baseball Shirt;12.88;Shop4Ever;Mens Clothing;20;0
62087a3eeb6c00edcd9243ade4c8a1a3;Soffe Mens Short Sleeve Two Button Henley Placket Shirt;19.64;Soffe;Mens Clothing;20;1
1c81e7df0d441ca5535a3bb0cf03f830;All Sport Youth Baseball T-Shirt;9.99;All Sport;Mens Clothing;20;2
e261152b88a2eebd1bd942e4d9e74abc;J/24 Class Sailboat Mens UPF 50+ UV/Sun Protection Long Sleeve T-Shirt;34.95;Altered Latitudes;Mens Clothing;20;3
8006a677f0c3131afec3ea43b2227658;Augusta VISION SPORT SHIRT KELLY M;9.98;Augusta;Mens Clothing;20;4
8cb4eda4e61a1ad664aa897ef2fdd577;Diadora Boys Calcio Jersey Forest YL;41.95;Diadora;Mens Clothing;20;5
eb3038645fb5eb2d4d222c89de50375c;Slam Dunk Astronaut Basketball Tee Mens -Image by Shutterstock;14.99;Smartprints;Mens Clothing;21;0
7aa050a68544d91147e9fdf9fe269e3b;Mens Slim Body Shaper Tummy Belly Underwear Vest T Shirt Shapewear;8.43;Unique Bargains;Mens Clothing;21;1
2c68792e9f0ba7ee41a5e0ce7f2e9bd6;Ozark Trail Mens Wool Blend Thermal Baselayer Pant;29.99;Ozark Trail;Mens Clothing;21;2
61793af7d34f96f85f352d9a25b36978;Underworks Mens Posture Corrector Body Shaper Compression Shirt;36.74;Undeworks;Mens Clothing;21;3
1c5d84fa932fbf48d93c8adeb1ae0963;Mens Camo Fitted Baselayer Thermal Underwear Long Sleeve Top;14.88;Realtree;Mens Clothing;21;4
4b599899043dc305b7904e5ae5822793;SAXX Mens Vibe Boxer Modern Fit Casual Underwear;20.25;SAXX;Mens Clothing;21;5
